title,author,genre,description
Harry Potter and the Sorcerer's Stone,J.K. Rowling,Fantasy,A young wizard discovers his magical powers and begins his journey at Hogwarts School of Witchcraft and Wizardry.
The Hobbit,J.R.R. Tolkien,Fantasy,A small hobbit goes on an unexpected adventure filled with dragons treasure and danger.
The Lord of the Rings,J.R.R. Tolkien,Fantasy,An epic quest to destroy a powerful ring and save Middle-earth.
1984,George Orwell,Dystopian,A dark future where society is controlled by surveillance propaganda and totalitarian power.
Animal Farm,George Orwell,Dystopian,An allegorical tale of animals who overthrow humans to create a society of equality.
The Hunger Games,Suzanne Collins,Dystopian,Teenagers are forced to fight in a deadly competition in a post-apocalyptic world.
To Kill a Mockingbird,Harper Lee,Classic,A powerful story of racial injustice morality and compassion in the American South.
The Great Gatsby,F. Scott Fitzgerald,Classic,A tragic story of wealth ambition love and the American dream.
Pride and Prejudice,Jane Austen,Romance,A classic romantic novel about love class and misunderstandings.
Jane Eyre,Charlotte Brontë,Romance,A strong young woman seeks love independence and purpose.
The Catcher in the Rye,J.D. Salinger,Classic,A teenager struggles with identity alienation and growing up.
The Alchemist,Paulo Coelho,Fiction,A philosophical journey about following dreams and discovering one's purpose.
Atomic Habits,James Clear,Self-Help,A practical guide to building good habits breaking bad ones and improving life.
Think and Grow Rich,Napoleon Hill,Self-Help,A motivational book about success mindset and wealth creation.
Deep Work,Cal Newport,Self-Help,A guide to focused success in a distracted world.
The Da Vinci Code,Dan Brown,Thriller,A fast-paced mystery involving secret societies and hidden symbols.
The Girl with the Dragon Tattoo,Stieg Larsson,Thriller,A journalist and hacker uncover dark secrets and crimes.
Gone Girl,Gillian Flynn,Thriller,A psychological thriller about a mysterious disappearance and marriage secrets.
The Fault in Our Stars,John Green,Romance,A touching love story between two teenagers facing illness.
The Book Thief,Markus Zusak,Historical Fiction,A story about life death and love during World War II.
